가맹점 영업일자,업종,고한읍 건수,사북읍 건수,정선군 건수,태백시 건수,영월군 건수,삼척시 건수
2025-12-31,슈퍼마켓,11,2,10,21,2,3
2025-12-31,커피전문점,5,7,0,9,0,0
2025-12-31,당구장 운영업,2,0,0,0,0,0
2025-12-31,식품판매업,14,5,7,35,5,4
2025-12-31,일반주점업,0,0,0,2,0,0
2025-12-31,세탁업,0,2,0,5,0,0
2025-12-31,일반음식점업,52,82,43,91,5,10
2025-12-31,휴게음식점업,0,4,0,3,0,0
2025-12-31,기타미용업,0,0,2,4,0,1
2025-12-31,이ㆍ미용업,4,5,1,22,0,5
2025-12-31,기타,0,0,0,2,0,0
2025-12-31,소매업,10,10,4,40,2,10
2025-12-31,숙박업,14,13,34,1,0,0
2025-12-30,세탁업,1,2,0,10,0,0
2025-12-30,슈퍼마켓,10,0,4,13,1,9
2025-12-30,실내 스크린 골프업,0,1,0,0,0,2
2025-12-30,당구장 운영업,4,0,0,0,0,0
2025-12-30,자동차 전문수리업,0,0,0,4,0,0
2025-12-30,소매업,5,11,5,46,3,6
2025-12-30,식품판매업,22,13,9,16,10,1
2025-12-30,숙박업,35,13,23,0,0,0
2025-12-30,자동자 세차업,0,0,0,4,0,0
2025-12-30,기타미용업,0,0,0,1,0,0
2025-12-30,이ㆍ미용업,6,11,0,23,0,0
2025-12-30,기타,0,0,0,2,0,0
2025-12-30,휴게음식점업,0,3,0,3,0,0
2025-12-30,주유소·LPG충전소,0,0,0,0,0,1
2025-12-30,일반음식점업,69,72,43,61,4,21
2025-12-30,커피전문점,4,10,0,4,0,0
2025-12-30,일반주점업,0,0,0,2,0,0
2025-12-29,기타미용업,2,0,1,7,0,2
2025-12-29,식품판매업,12,7,6,41,2,4
2025-12-29,이ㆍ미용업,3,12,20,31,0,4
2025-12-29,자동차 전문수리업,0,1,0,2,0,0
2025-12-29,일반음식점업,54,62,38,70,4,11
2025-12-29,휴게음식점업,3,9,0,4,1,0
2025-12-29,커피전문점,3,9,0,5,0,0
2025-12-29,소매업,13,14,5,44,2,12
2025-12-29,기타,0,0,0,4,0,0
2025-12-29,실내 스크린 골프업,0,0,0,0,0,2
2025-12-29,자동자 세차업,0,0,0,4,0,0
2025-12-29,슈퍼마켓,10,0,6,25,1,1
2025-12-29,목욕장업,0,0,3,0,0,0
2025-12-29,세탁업,1,3,1,5,0,0
2025-12-29,숙박업,18,10,21,5,0,0
2025-12-28,기타미용업,0,0,0,3,0,0
2025-12-28,커피전문점,1,10,5,2,0,0
2025-12-28,슈퍼마켓,10,0,8,36,4,1
2025-12-28,숙박업,20,25,22,2,0,0
2025-12-28,일반음식점업,66,78,95,86,3,6
2025-12-28,자동차 전문수리업,0,0,0,0,0,3
2025-12-28,실내 스크린 골프업,0,1,0,0,0,0
2025-12-28,기타,0,0,0,2,0,0
2025-12-28,주유소·LPG충전소,0,0,0,0,0,1
2025-12-28,일반주점업,0,0,0,2,0,0
2025-12-28,소매업,16,18,23,49,1,4
2025-12-28,휴게음식점업,2,6,0,3,0,0
2025-12-28,식품판매업,7,11,13,33,10,3
2025-12-28,세탁업,0,0,3,6,0,2
2025-12-28,이ㆍ미용업,0,0,17,32,0,2
2025-12-27,이ㆍ미용업,3,4,0,39,0,12
2025-12-27,목욕장업,0,0,0,1,0,0
2025-12-27,일반주점업,0,0,0,2,0,0
2025-12-27,자동차 전문수리업,0,0,0,4,0,4
2025-12-27,일반음식점업,103,83,48,116,2,54
2025-12-27,기타미용업,0,0,3,2,0,3
2025-12-27,숙박업,25,20,25,4,0,0
2025-12-27,당구장 운영업,3,0,0,0,0,0
2025-12-27,식품판매업,10,14,9,39,5,10
2025-12-27,세탁업,1,0,2,8,0,6
2025-12-27,실내 스크린 골프업,0,2,4,0,0,1
2025-12-27,소매업,9,8,17,56,2,19
2025-12-27,슈퍼마켓,11,1,9,17,1,5
2025-12-27,커피전문점,10,14,3,8,0,7
2025-12-27,기타,0,0,0,1,0,2
2025-12-27,휴게음식점업,2,6,3,5,0,12
2025-12-26,기타,0,0,0,0,0,2
2025-12-26,휴게음식점업,2,4,2,3,0,8
2025-12-26,자동자 세차업,0,0,2,1,0,0
