업태별,시도,시군구,존속연수별, (전체)당월 , (전체전월 , (전체전년동월 , (개인)당월 , (개인)전월 , (개인)전년동월 , (법인)당월 , (법인)전월 , (법인)전년동월 
농·임·어업,서울특별시,종로구,6개월 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,6개월 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,1년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,2년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,3년 이상,3,3,5,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,5년 이상,5,5,4,0,0,0,4,4,3
농·임·어업,서울특별시,종로구,10년 이상,7,7,5,0,0,0,5,5,5
농·임·어업,서울특별시,종로구,20년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,30년 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,중구,6개월 미만,3,3,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,1년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,2년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,3년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,5년 이상,5,5,5,0,0,0,4,4,5
농·임·어업,서울특별시,중구,10년 이상,3,3,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,30년 이상,3,3,3,0,0,0,3,3,3
농·임·어업,서울특별시,용산구,6개월 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,1년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,2년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,3년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,5년 이상,5,5,8,0,0,0,3,3,5
농·임·어업,서울특별시,용산구,10년 이상,4,4,3,0,0,0,3,3,0
농·임·어업,서울특별시,용산구,30년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,6개월 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,6개월 이상,3,3,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,1년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,2년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,3년 이상,7,7,3,3,3,0,4,4,0
농·임·어업,서울특별시,성동구,5년 이상,3,3,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,10년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,30년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,6개월 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,6개월 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,1년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,2년 이상,4,3,4,4,3,4,0,0,0
농·임·어업,서울특별시,광진구,3년 이상,5,5,9,3,3,4,0,0,0
농·임·어업,서울특별시,광진구,5년 이상,11,12,7,7,7,4,4,5,3
농·임·어업,서울특별시,광진구,10년 이상,11,10,11,0,0,0,10,9,9
농·임·어업,서울특별시,광진구,20년 이상,4,4,3,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,30년 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,동대문구,6개월 미만,0,0,0,0,0,0,0,0,0
